APELLIDO;NOMBRE;CLUB;POSICION;VALOR
Castro;Alexis Nicolás;Godoy Cruz;VOL;5900000
Catalán;Matías;San Lorenzo;DEF;600000
Cauteruccio;Martín;Quilmes;DEL;4800000
Cavallaro;Juan I.;Unión;VOL;1300000
Cazares;Juan;River;DEL;1000000
Cañete;Diego;Belgrano;DEL;1000000
Ceballos;Lucas;Godoy Cruz;DEF;3100000
Celis;Diego;Vélez;DEL;300000
Cellay;Christian;Boca;DEF;3600000
Centurión;Ricardo;Racing;VOL;2000000
Cerro;Francisco;Vélez;VOL;3700000
Chaparro;Lucas;San Lorenzo;DEF;600000
Chávez;Cristian;Boca;VOL;4800000
Chiapello;Federico;Unión;DEL;300000
Chichizola;Leandro;River;ARQ;2000000
Churín;Diego;Independiente;DEL;1900000
Cirigliano;Ezequiel;River;VOL;4600000
Cisterna;Diego;Tigre;VOL;2500000
Cobo;Juan Manuel;Quilmes;VOL;2500000
Colazo;Nicolás;Boca;VOL;3000000
Comachi;Martín;Colón;DEL;600000
Conde;Esteban;Rafaela;ARQ;2700000
Cooper;Armando;Godoy Cruz;VOL;2800000
Copete;Jonathan;Vélez;DEL;4500000
Córdoba;Jorge;Godoy Cruz;DEL;2800000
Coronel;Maxi E.;Lanús;DEF;300000
Coronel;Maximiliano;All Boys;DEF;2000000
Correa;Angel;San Lorenzo;VOL;300000
Correa;Joaquín;Estudiantes;VOL;500000
Correa;Nicolás;Unión;DEF;4300000
Corti;Leonardo;San Martín SJ;ARQ;1300000
Corvalán;Claudio;Racing;DEF;3000000
Cosaro;Guillermo;Unión;DEF;1500000
Cousillas;Agustín;Tigre;ARQ;500000
Cubero;Fabián;Vélez;DEF;3900000
Cuesta;Víctor;Arsenal;DEF;1700000
Curbelo;Jorge;Godoy Cruz;DEF;3600000
Curuchet;Facundo;Colón;DEL;1200000
D'Angelo;Sebastián;Boca;ARQ;700000
Daher;Luis;Godoy Cruz;VOL;400000
Dal Casón;Guido;Quilmes;DEL;300000
De Olivera;Jorge;Racing;ARQ;2800000
Depetris;Leonardo;Rafaela;DEL;2000000
Desábato;Leandro;Estudiantes;DEF;4700000
Desábato;Leandro L.;Vélez;VOL;1200000
Di Grazia;Lucas;All Boys;ARQ;500000
Di Plácido;Leonel;All Boys;DEF;300000
Díaz Ponce;Rodrigo;Argentinos;VOL;400000
Díaz;Cristian;Newell's;DEF;3000000
Díaz;Gastón;Tigre;VOL;2400000
Díaz;Gastón R.;Lanús;DEF;3200000
Díaz;Leandro Javier;Quilmes;VOL;3400000
Díaz;Leandro Nicolás;Lanús;DEL;2800000
Díaz;Matías;San Lorenzo;VOL;2800000
Diello;Diego;Quilmes;DEL;300000
Diz;Facundo;Quilmes;DEL;3000000
Domínguez;Sebastián;Vélez;DEF;5000000
Donatti;Alejandro;Tigre;DEF;2700000
Donnet;Matías;Unión;VOL;3900000
Dulcich;Silvio;Quilmes;ARQ;1700000
Echeverría;Mariano;Tigre;DEF;6200000
Ellacopulos;Elías;Tigre;VOL;300000
Eluchans;Juan;Rafaela;VOL;3100000
Erbes;Cristian;Boca;VOL;2500000
Erramuspe;Rodrigo;Lanús;DEF;4300000
Erviti;Walter;Boca;VOL;9000000
Escobar;Matías;Tigre;VOL;2700000
Esmerado;Gastón;Arsenal;VOL;2500000
Espíndola;Lucas;All Boys;DEL;300000
Espinoza;Gonzalo;Arsenal;VOL;2800000
Etevenaux;Iván;Belgrano;VOL;1000000
Faccioli;Emir;Colón;DEF;2800000
Faravelli;Lorenzo;Newell's;VOL;1000000
Farías;Ernesto;Independiente;DEL;8200000
Fariña;Luis Carlos;Racing;VOL;2200000
Farré;Guillermo;Belgrano;VOL;3800000
Fernández;Alexis;Unión;VOL;1800000
Fernández;Gastón;Estudiantes;DEL;8500000
Fernández;Guillermo;Boca;VOL;1000000
Fernández;José C.;Argentinos;DEL;3500000
Fernández;Marcos;Colón;VOL;300000
Fernández;Mauro;Estudiantes;DEL;2500000
Fernández;Nereo;Argentinos;ARQ;3000000
Ferracuti;Guillermo;Newell's;DEF;1900000
Ferrari;Jonathan;All Boys;DEF;2800000
Ferreira;Brian;Vélez;VOL;900000
Ferreira;Diego;Tigre;VOL;3000000
Ferreyra;Osmar;Independiente;VOL;4700000
Ferro;Raúl;Rafaela;VOL;3500000
Figueroa;Juan;San Lorenzo;ARQ;300000
Figueroa;Marcos;Argentinos;DEL;1800000
Figueroa;Tobías;Belgrano;DEL;700000
Figueroa;Víctor;Newell's;VOL;4600000
Fissore;Matías;Rafaela;VOL;3500000
Flores;Brian;Boca;DEF;300000
Flores;Franco;Argentinos;DEF;600000
Fondacaro;Carlos;Boca;DEF;2100000
Fontanini;Fabricio;Rafaela;DEF;4500000
Fosgt;Santiago;Colón;DEF;2700000
Fragapane;Franco;Boca;DEL;600000
Fraire;Diego;Rafaela;VOL;1300000
Franzoia;Andrés;Unión;DEL;3500000
Fredes;Hernán;Independiente;VOL;3800000
Fredrich;Elvio;All Boys;VOL;2800000
Freire;Federico;Vélez;VOL;800000
Fritzler;Matías;Lanús;VOL;4600000
Ftacla;Diego;Tigre;DEL;1300000
Fuentes;Diego;All Boys;DEF;400000
Funes Mori;Ramiro;River;DEF;3500000
Funes Mori;Rogelio;River;DEL;5000000
Furch;Julio;San Lorenzo;DEL;3000000
Gabbarini;Adrián;Independiente;ARQ;4000000
Galeano;Leonel;Independiente;DEF;3800000
Galmarini;Martín;Tigre;VOL;4200000
Galván;Diego;Unión;VOL;3300000
Gandín;Darío;Rafaela;DEL;5100000
Gaona Lugo;Orlando;Boca;DEL;1200000
Garcé;Ariel;Argentinos;DEF;4000000
García;Diego;San Martín SJ;DEL;3200000
García;Javier;Tigre;ARQ;4800000
Garnier;Pablo;Quilmes;VOL;3300000
Garro;Juan;Godoy Cruz;DEL;1600000
Gelabert;Marcos;Estudiantes;VOL;2900000
Gentiletti;Santiago;San Lorenzo;DEF;4300000
Gerlo;Danilo;Arsenal;DEF;3000000
Ghione;Rodrigo;Rafaela;VOL;400000
Giannetti;Lautaro;Vélez;DEF;800000
Gigliotti;Emmanuel;Colón;DEL;5200000
Gil Romero;Gastón;Estudiantes;VOL;1000000
Giménez;Martín;Quilmes;DEL;2000000
Giménez;Matías;Boca;VOL;3000000
Giovini;Sebastián;Argentinos;ARQ;400000
Gissi;Dylan;Estudiantes;DEF;700000
Godoy;Erik;Tigre;DEF;300000
Godoy;Fernando;Independiente;VOL;3000000
Goltz;Paolo Duval;Lanús;DEF;4700000
Gómez;Ricardo;Colón;VOL;3000000
Gómez;Rodrigo;Argentinos;VOL;300000
Gómez;Walter;Arsenal;VOL;400000
González Pirez;Leandro;River;DEF;3500000
González;Diego;Lanús;VOL;2100000
González;Esteban;Belgrano;VOL;3800000
González;Federico;Rafaela;DEL;4000000
González;Fernando;Belgrano;DEF;900000
González;Leandro;Estudiantes;DEL;2900000
González;Mariano;Estudiantes;VOL;5200000
González;Silvio;Tigre;DEL;4800000
Goñi;Ernesto;Quilmes;DEF;2800000
Grabinski;Cristian;San Martín SJ;DEF;3800000
Graciani;Gabriel;Colón;VOL;2200000
Grana;Hernán;All Boys;DEF;3000000
Grazzini;Sebastián;Rafaela;VOL;3800000
Grimi;Leandro;Godoy Cruz;DEF;3200000
Gutiérrez;Cristian;Tigre;VOL;300000
Guzmán;Nahuel;Newell's;ARQ;2000000
Hanchén;Gabriel;Newell's;VOL;600000
Hauche;Gabriel;Racing;DEL;5800000
Heinze;Gabriel;Newell's;DEF;5500000
Henneberg;Carlos;Lanús;DEL;500000
Heredia;Juan Pablo;Belgrano;ARQ;500000
Hernández;Pablo;Argentinos;VOL;5000000
Hoyos;Michael;Estudiantes;VOL;2800000
