2;Diego Crosa;42;1
2;Jorge Núñez;42;1
4;Germán Cano;42;1
4;Emiliano Strappini;42;1
2;Fernando Crosa;42;1
2;Franco Miranda;42;1
3;Jorge Myma;42;1
2;Federico Rosso;42;1
1;Diego Pozo;34;2
2;Josimar Mosquera;34;1
2;Salustiano Candia;34;1
2;Ismael Quílez;34;1
2;Ariel Garcé;34;2
2;Pablo De Miranda;34;1
3;Cristian Pellerano;34;2
3;Eduardo Coudet;34;1
4;Federico Nieto;34;2
4;Lucas Acosta;34;1
3;Ricardo Gómez;34;2
1;Andrés Bailo;34;1
2;Germán Rivarola;34;2
3;Juan Manuel Lucero;34;1
4;Andres Ríos;34;1
3;Iván Moreno y Fabianesi;34;2
4;Santiago Soto;34;1
3;Facundo Bertoglio;34;2
3;Nicolás Torres;34;1
4;Esteban Fuertes;34;3
1;Marcos Díaz;34;1
3;Alejandro Capurro;34;2
3;Mauro Bellone;34;1
3;Facundo Sánchez;34;1
4;Rodrigo Canario;34;1
2;Omar Merlo;34;1
2;Maximiliano Caire;34;1
3;Alfredo Ramírez;34;1
1;Iván Gorosito;34;1
4;Jonatan Bauman;34;1
2;Marcelo Goux;34;1
2;Mauricio Mansilla;34;1
4;Matías Burne;34;1
3;Johann Laureiro;34;1
1;Roberto Fernández;33;1
2;Leandro Desábato;33;2
2;Cristian Cellay;33;2
2;Raúl Iberbia;33;1
3;Matías Sánchez;33;1
2;Marcos Rojo;33;1
3;José Sosa;33;3
3;Enzo Pérez;33;2
4;Mauro Boselli;33;3
3;Marcelo Carrusca;33;2
3;Juan Sebastián Verón ;33;3
1;César Taborda;33;1
3;Michael Hoyos;33;1
2;Marcos Angeleri;33;2
3;Darío Stefanatto;33;1
2;Germán Ré;33;2
2;Federico Fernández;33;1
3;Maximiliano Núñez;33;1
3;Ignacio Cantaluppi;33;1
4;Leandro González;33;1
1;Agustín Orión;33;2
3;Rodrigo Braña;33;2
3;Leandro Benítez;33;2
2;Leonardo Sánchez;33;1
1;Damián Albil;33;1
3;Juan Huerta;33;1
4;Jerónimo Morales Neumann;33;1
2;Matías Sarulyte;33;1
3;Roberto Birge;33;1
2;Clemente Rodríguez;33;2
1;Agustín Silva;33;1
3;Cristian Gaitán;33;1
3;Leonardo Jara;33;1
3;Diego Auzqui;33;1
2;Emanuel López;33;1
2;Fabián Roskos;33;1
3;Héctor Morales;33;1
3;Ianni Verón;33;1
4;Guido Carrillo;33;1
4;Máximo Cantaluppi;33;1
3;Guido Cantaluppi;33;1
1;Gastón Sessa;41;2
2;Patricio Graff;41;1
2;Álvaro Ormeño;41;2
2;Ariel Agüero;41;1
4;Juan Cuevas;41;1
3;Luciano Aued;41;2
4;Roberto Sosa;41;1
3;Mariano Messera;41;1
