APELLIDO;NOMBRE;CLUB;POSICION;VALOR
Tobio; Fernando;Vélez;DEF;3600000
Toledo; Gustavo;Banfield;DEF;2200000
Tombolini; Laureano;Olimpo;ARQ;4000000
Tonso; Martín;Newell's;VOL;1700000
Toranzo; Patricio;Racing;VOL;6700000
Torassa; Agustín;All Boys;DEL;2700000
Torrén; Miguel;Argentinos;DEF;3000000
Torres; Adrián;Godoy Cruz;VOL;1300000
Torres; Aureliano;San Lorenzo;DEF;4500000
Torres; Bernardo;Belgrano;VOL;600000
Torres; Diego;Arsenal;DEL;2800000
Torrico; Sebastián;Godoy Cruz;ARQ;4800000
Trombetta; Cristian;Arsenal;DEF;2100000
Tula; Cristian;San Lorenzo;DEF;4800000
Tursi; Federico;Tigre;ARQ;300000
Turus; Gastón;Belgrano;DEF;2900000
Tuzzio; Eduardo;Independiente;DEF;5000000
Urribarri; Bruno;Colón;DEF;2900000
Urruti; Maximiliano;Newell's;DEL;1500000
Valdez; Matías;Lanús;DEF;1000000
Valencia; Carmelo;Newell's;DEL;3000000
Valeri; Diego;Lanús;VOL;8500000
Valle; Jonathan;Newell's;DEF;500000
Vallés; Gabriel;Independiente;DEF;2800000
Vangioni; Leonel;Newell's;VOL;3800000
Varela; Cristian;All Boys;DEF;2000000
Vázquez; Franco;Belgrano;VOL;3800000
Vega; David;Olimpo;VOL;3000000
Velasco; Maximiliano;Newell's;DEL;900000
Velázquez; Jorge;Unión;VOL;2900000
Velázquez; Julián;Independiente;DEF;3900000
Velázquez; Leandro;Vélez;VOL;2800000
Velázquez; Maximiliano;Independiente;DEF;3900000
Vélez; José;Independiente;DEF;3000000
Vella; Cristian;All Boys;DEF;2800000
Vera; Renzo;Unión;DEF;2600000
Vergini; Santiago;Newell's;DEF;3000000
Verón; Juan Sebastián;Estudiantes;VOL;12000000
Viatri; Lucas;Boca;DEL;5100000
Vidal; Sebastián;Unión;VOL;2900000
Vieyra; Juan;Newell's;VOL;600000
Villafáñez; Lucas;Independiente;VOL;2100000
Villalba; Hernán;Newell's;VOL;2200000
Villanueva; Cristian;Olimpo;DEF;1900000
Villar; Diego;Godoy Cruz;VOL;4600000
Villar; Justo;Estudiantes;ARQ;6500000
Viola; Valentín;Racing;DEL;1900000
Vitelli; Darío;Belgrano;DEF;300000
Vizcarrondo; Oswaldo;Olimpo;DEF;3700000
Voboril; Germán;Godoy Cruz;DEF;2500000
Vuletich; Agustín;Vélez;DEL;1000000
Wagner; Martín;San Martín SJ;VOL;3000000
Yacob; Claudio;Racing;VOL;4600000
Yacob; Walter;Unión;DEF;2000000
Zamponi; Rubén;San Martín SJ;DEF;2400000
Zapata; Duván;Estudiantes;DEL;1900000
Zapata; Martín;All Boys;VOL;2300000
Zapata; Víctor;Vélez;VOL;6200000
Zbrun; Martín;Rafaela;DEF;2500000
Zbrun; Matías;Rafaela;DEL;1500000
Zelaya; Emilio;Arsenal;DEL;4100000
Zuculini; Bruno;Racing;VOL;2100000
Zurbriggen; Santiago;Unión;DEF;1800000
