APELLIDO;NOMBRE;CLUB;POSICION;VALOR
Casais; Eduardo;Olimpo;DEF;3100000
Castaño; Diego;Tigre;VOL;4500000
Casteglione; Carlos;Tigre;DEF;3900000
Castillo; Jairo;Independiente;DEL;4000000
Castillón; Facundo;Godoy Cruz;DEL;2300000
Castro; Lucas;Racing;VOL;4000000
Castro; Nicolás;Rafaela;VOL;2800000
Ceballos; Lucas;Godoy Cruz;DEF;1500000
Cellay; Cristian;Estudiantes;DEF;4300000
Cellerino; Gastón;Racing;VOL;2300000
Cepeda; Christian;Arsenal;DEF;500000
Cerro; Francisco;Vélez;VOL;3900000
Champagne; Nereo;San Lorenzo;ARQ;2000000
Chávez; Christian;San Lorenzo;DEL;3500000
Chávez; Cristian;Boca;VOL;4200000
Chevantón; Javier;Colón;DEL;4300000
Clara; Gino;Independiente;DEL;3000000
Cobo; Juan Manuel;Arsenal;VOL;3000000
Colazo; Nicolás;Boca;VOL;3200000
Colombatti; Gabriel;Racing;DEF;400000
Colombini; Ignacio;Racing;DEL;600000
Cooper; Armando;Godoy Cruz;VOL;2200000
Córdoba; Jherson;Rafaela;VOL;3000000
Coria; Facundo;Estudiantes;VOL;4800000
Coronel; Maximiliano;All Boys;DEF;1500000
Correa; Jorge Iván;Vélez;VOL;400000
Correa; Nicolás;Unión;DEF;2500000
Corti; Leonardo;San Martín SJ;ARQ;1000000
Costa; Tomás;Colón;VOL;3900000
Cousillas; Agustín;Tigre;ARQ;500000
Cubero; Fabián;Vélez;VOL;4400000
Cuesta; Víctor;Arsenal;DEF;1600000
Curbelo; Jorge;Godoy Cruz;DEF;3700000
Curuchet; Facundo;Colón;DEL;800000
Cvitanich; Darío;Boca;DEL;6800000
D'Angelo; Sebastián;Boca;ARQ;500000
Damonte; Israel;Godoy Cruz;VOL;3100000
De Olivera; Jorge;Racing;ARQ;3500000
De Souza; Diego;Banfield;VOL;3300000
Defederico; Matías;Independiente;DEL;4700000
Delfino; Alejandro;Banfield;DEF;1900000
Delmonte; Nicolás;Independiente;DEL;800000
Desábato; Leandro;Estudiantes;DEF;5400000
Desábato; Leandro Luis;Vélez;VOL;600000
Devaca; José;Banfield;DEF;1800000
Di Grazia; Lucas;All Boys;ARQ;400000
Di Gregorio; Matías;Rafaela;DEF;1500000
Díaz; Cristian;Newell's;VOL;2900000
Díaz; Gabriel;Olimpo;DEF;1000000
Díaz; Gastón;Vélez;DEF;3600000
Díaz; Gastón;Tigre;VOL;2000000
Díaz; Leandro;Lanús;DEL;2800000
Díaz; Marcos;Colón;ARQ;1200000
Dobler; Mauro;Racing;ARQ;600000
Domínguez; Eduardo;All Boys;DEF;4600000
Domínguez; Sebastián;Vélez;DEF;5000000
Dos Santos; Mauro;Banfield;DEF;3600000
Dutari; Francisco;Rafaela;DEF;2800000
Echeverría; Mariano;Tigre;DEF;4800000
Eluchans; Juan;Banfield;VOL;3600000
Erbes; Cristian;Boca;VOL;2500000
Erramuspe; Rodrigo;Unión;DEF;2600000
Erviti; Walter;Boca;VOL;8500000
Escalante; Matías;All Boys;VOL;300000
Escobar; Matías;Tigre;VOL;2700000
Escudero; Sergio;Argentinos;DEF;3500000
Esmerado; Gastón;Arsenal;VOL;2700000
Espinoza; Gonzalo;Racing;VOL;2500000
Etevenaux; Iván;Belgrano;VOL;1000000
Faccioli; Emir;Olimpo;DEF;3500000
Falcón; Juan Carlos;Godoy Cruz;VOL;3000000
Falcone; Federico;Newell's;DEL;1800000
Faravelli; Lorenzo;Newell's;VOL;1100000
Fariña; Luis Carlos;Racing;VOL;1500000
Farré; Guillermo;Belgrano;VOL;2600000
Fernández; Alexis;Unión;VOL;1800000
Fernández; Augusto;Vélez;VOL;5200000
Fernández; Gastón;Estudiantes;DEL;7900000
Fernández; José Luis;Estudiantes;VOL;4100000
Fernández; Juan;Rafaela;DEF;3200000
Fernández; Julián;Rafaela;DEF;1600000
Fernández; Mauro;Estudiantes;DEL;2300000
Fernández; Nereo;Argentinos;ARQ;2300000
Ferragutti; Guillermo;Newell's;DEF;1200000
Ferrari; Jonathan;San Lorenzo;DEF;2900000
Ferreira; Brian;Vélez;VOL;400000
Ferreyra; Facundo;Banfield;DEL;4500000
Ferreyra; Juan Carlos;All Boys;DEL;3700000
Ferreyra; Juan Pablo;Banfield;ARQ;600000
Ferreyra; Osmar;Independiente;VOL;4500000
Fideleff; Ignacio;Newell's;DEF;2900000
Figueroa; Tobías;Belgrano;DEL;600000
Figueroa; Víctor;Newell's;VOL;4100000
Fissore; Matías;Rafaela;VOL;1700000
Fogst; Santiago;Colón;DEF;2000000
Fontanini; Fabricio;Rafaela;DEF;3200000
Franco; Guillermo;Vélez;DEL;4600000
Franco; Guillermo;Godoy Cruz;DEF;1800000
Franzoia; Andrés;Olimpo;DEL;3500000
Fredes; Hernán;Independiente;VOL;4000000
Freire; Federico;Vélez;VOL;400000
Fritzler; Matías;Lanús;VOL;4600000
