Díaz, Damián ;3;1;6
Fassi, Emanuel ;3;1;6
Gómez, Ricardo;3;2;6
Laureiro, Johann ;3;1;6
Ledesma, Cristian ;3;2;6
Moreno y Fabianesi, Iván;3;2;6
Mugni, Lucas ;3;1;6
Ramírez, Alfredo ;3;1;6
Sánchez, Facundo ;3;1;6
Soto, Santiago ;3;1;6
Bauman, Jonathan;4;1;6
Comachi, Martín ;4;1;6
Curuchet, Facundo ;4;1;6
Fuertes, Esteban ;4;3;6
Higuaín, Federico ;4;2;6
Larrivey, Joaquín;4;2;6
Lessman, Germán;4;1;6
Lucero, Juan Manuel ;4;1;6
Orion, Agustín;1;2;7
Silva, Agustín;1;1;7
Taborda, César ;1;1;7
Desábato, Leandro ;2;2;7
Fernández, Federico ;2;1;7
Gissi, Dylan;2;1;7
Iberbia, Raúl ;2;1;7
Mercado, Gabriel ;2;2;7
Parrino, Elián;2;1;7
Ré, Germán ;2;2;7
Rojo, Marcos Alberto ;2;1;7
Roncaglia, Facundo ;2;2;7
Sarulyte, Matías ;2;1;7
Auzqui, Carlos ;3;1;7
Benítez, Leandro ;3;2;7
Braña, Rodrigo ;3;2;7
Cardozo, Héctor ;3;1;7
Delgado, Leonardo ;3;1;7
Francescoli, Marco;3;1;7
Hoyos, Michael ;3;1;7
Jara, Leonardo ;3;1;7
Núñez, Maximiliano;3;1;7
Pérez, Enzo;3;2;7
Peñalba, Gabriel;3;2;7
Sánchez, Matías ;3;1;7
Steffanato, Darío ;3;1;7
Verón, Juan Sebastián ;3;3;7
Fernández, Gastón ;4;2;7
González, Leandro ;4;2;7
López, Hernán Rodrigo ;4;3;7
Pereyra, Juan Pablo;4;2;7
Monetti, Fernando ;1;1;8
Pellegrino, Fernando ;1;1;8
Sessa, Gastón;1;2;8
Agüero, Ariel ;2;1;8
Benítez, Oliver;2;1;8
Casco, Milton ;2;1;8
Fontanello, Pablo ;2;2;8
Iriarte, Hugo ;2;1;8
Landa, Lucas ;2;1;8
Magallán, Lisandro;2;1;8
Masuero, Abel ;2;1;8
Moreira, Ricardo;2;1;8
Sapetti, Leandro ;2;1;8
Soto, Gonzalo ;2;1;8
Aued, Luciano ;3;2;8
Capurro, Alejandro ;3;2;8
Castro, Lucas;3;1;8
Encina, Hernán;3;2;8
Frezzotti, Alejandro ;3;1;8
Jiménez, Walter ;3;2;8
Méndez, Emiliano ;3;1;8
